mstardisk,mstarspheroid,sfr,sfrspheroid,mzgasdisk,mzgasspheroid,mcolddisk,halomass,mbh,mhot,mcoldspheroid
0,4032310000000,63844500,0,180159000,28768100000,4126180000,2.155e+15,6855110000000,246617000000000,341825000000
0,2434620000000,11539000000,10801400000,11101900,721397000,514885000,2.0391e+15,445104000000,161529000000000,21969200000
5478580000,4320920000000,10047700000,9933960000,132977,26904300000,21407200,1.7231e+15,5506860000000,203385000000000,380880000000
0,855204000000,813093000,333318000,489244000,18859400,14622400000,1.597e+15,29263300000,103821000000000,1999440000
0,3243900000000,403795000,340736000,8859440,6861900000,329972000,1.4713e+15,1705900000000,175767000000000,102728000000
0,3817880000000,853930000,719848000,6003810,34031100000,339633000,1.468e+15,806395000000,160856000000000,371429000000
0,1135230000000,196026000,0,1399780000,5395940000,27481000000,1.4212e+15,79493300000,76181800000000,42935600000
0,3263040000000,146368000,0,499135000,20922100000,13707400000,1.3803e+15,1573080000000,166779000000000,261426000000
1972390000,3431000000000,27273100000,27041400000,1100620000,18057400000,33387500000,1.3576e+15,1257500000000,174248000000000,242028000000
0,912224000000,4201320000,2778020000,72198500,74505400,2782830000,1.3524e+15,45261600000,113256000000000,3164300000
15013300000,2803670000000,3046060000,0,371610000,23897300000,12987600000,1.3497e+15,1571450000000,172488000000000,257354000000
0,3444240000000,61096000000,60956800000,208714000,40703100000,3959770000,1.3351e+15,408812000000,153722000000000,419591000000
0,2027890000000,3072980000,2338200000,49866400,8697910000,2763260000,1.3305e+15,306703000000,147867000000000,110405000000
0,3483940000000,213793000,0,111927000,2365830000,6887770000,1.314e+15,1201930000000,159964000000000,41556200000
0,2090620000000,1955810000,883674000,328961000,18687100,9147540000,1.3075e+15,184228000000,150085000000000,800839000
0,1770740000000,6935560000,6349710000,122467000,15560000000,5294300000,1.2975e+15,141845000000,109396000000000,147305000000
0,2471990000000,116473000,0,30856400,14496900000,1743420000,1.2873e+15,635090000000,144804000000000,160971000000
0,1609690000000,736279000,582302000,68136300,0,3048060000,1.2768e+15,104878000000,105178000000000,0
0,2390900000000,5932790000,5869760000,15687100,150115000,1472260000,1.2763e+15,197397000000,133690000000000,6354060000
0,1947450000000,7638860000,7617350000,106869000,5792440000,2415910000,1.2605e+15,133592000000,102984000000000,71869600000
0,960154000000,3223630000,3151200000,4582730,35846900,446192000,1.2418e+15,35762500000,79083300000000,4239030000
0,3042710000000,3618740000,3590030000,41.5152,334730000,6911.55,1.2379e+15,644180000000,153391000000000,11889800000
0,2020250000000,644857000,379222000,56376.4,4588430000,41813600,1.236e+15,290992000000,137082000000000,53776800000
671248000,2115470000000,8501690000,7689960000,124183000,438385000,6056160000,1.2324e+15,363031000000,141618000000000,14738000000
0,2574730000000,293976000,0,315672000,0,10738800000,1.2274e+15,306818000000,116550000000000,0
0,1529350000000,1729870000,1527140000,0,14660500000,0,1.2152e+15,112564000000,104135000000000,137688000000
0,1378550000000,1394030000,1180900000,26100600,139461000,1364770000,1.2075e+15,135091000000,127938000000000,5126500000
75334000000,1287670000000,11582700000,0,5321340000,0,70612500000,1.1929e+15,99961200000,113219000000000,0
0,2800460000000,370414000,0,250351000,0,4461620000,1.1809e+15,688073000000,136373000000000,0
